src,dst,length_m,way_id
12149698421,10023870460,157.4,43390970
12149698421,3235646858,22.3,43390970
3235646858,12149698421,22.3,43390970
3235646858,3235646857,17.4,43390970
3235646857,3235646858,17.4,43390970
3235646857,3376155195,362.9,43390970
3376155195,3235646857,362.9,43390970
3376155195,3376155224,13.7,43390970
3376155224,3376155195,13.7,43390970
3376155224,3235646848,615.0,43390970
3235646848,3376155224,615.0,43390970
3235646848,3235646844,15.5,43390970
3235646844,3235646848,15.5,43390970
3235646844,546622380,374.0,43390970
546622380,3235646844,374.0,43390970
546622380,3378183004,87.2,43390970
3378183004,546622380,87.2,43390970
3378183004,546622381,123.3,43390970
546622381,3378183004,123.3,43390970
546622381,3378183005,122.0,43390970
3378183005,546622381,122.0,43390970
3378183005,546622383,141.2,43390970
546622383,3378183005,141.2,43390970
546622383,8882729191,52.8,43390970
8882729191,546622383,52.8,43390970
8882729191,3235646786,351.4,43390970
3235646786,8882729191,351.4,43390970
3235646786,3379254000,77.4,43390970
3379254000,3235646786,77.4,43390970
3379254000,546622385,123.0,43390970
546622385,3379254000,123.0,43390970
546622385,3378183006,111.0,43390970
3378183006,546622385,111.0,43390970
3378183006,3378183007,60.4,43390970
3378183007,3378183006,60.4,43390970
3378183007,546622387,96.7,43390970
546622387,3378183007,96.7,43390970
546622387,3378183008,101.1,43390970
3378183008,546622387,101.1,43390970
3378183008,546622388,74.3,43390970
546622388,3378183008,74.3,43390970
546622388,3378183041,222.1,43390970
3378183041,546622388,222.1,43390970
3378183041,3379246434,116.9,43390970
3379246434,3378183041,116.9,43390970
3379246434,546622411,281.0,43390970
546622411,3379246434,281.0,43390970
546622411,3378183009,148.1,43390970
3378183009,546622411,148.1,43390970
3378183009,3378183040,53.1,43390970
3378183040,3378183009,53.1,43390970
3378183040,3378183010,47.7,43390970
3378183010,3378183040,47.7,43390970
3378183010,546622419,80.6,43390970
546622419,3378183010,80.6,43390970
546622419,3378183011,71.8,43390970
3378183011,546622419,71.8,43390970
3378183011,3379254280,58.7,43390970
3379254280,3378183011,58.7,43390970
3379254280,3379254062,115.1,43390970
3379254062,3379254280,115.1,43390970
3379254062,546622427,18.0,43390970
546622427,3379254062,18.0,43390970
546622427,546622437,264.0,43390970
546622437,546622427,264.0,43390970
546622437,3379254014,227.1,43390970
3379254014,546622437,227.1,43390970
3379254014,546622441,153.4,43390970
546622441,3379254014,153.4,43390970
546622441,3378183035,66.8,43390970
3378183035,546622441,66.8,43390970
3378183035,3379254340,10.1,43390970
3379254340,3378183035,10.1,43390970
3379254340,973473288,42.0,43390970
973473288,3379254340,42.0,43390970
973473288,3378183025,65.1,43390970
3378183025,973473288,65.1,43390970
3378183025,7954678862,19.2,43390970
7954678862,3378183025,19.2,43390970
7954678862,546622448,35.4,43390970
546622448,7954678862,35.4,43390970
546622448,3378183012,116.3,43390970
3378183012,546622448,116.3,43390970
3378183012,546622458,125.4,43390970
546622458,3378183012,125.4,43390970
546622458,3378183013,62.3,43390970
3378183013,546622458,62.3,43390970
